Column_1,Column_2,Country,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31
1,1,ES,2165,1,2189,7,1946,19,1805,0,−7,0,−14,0,+15,+3,+146,+3,+130,+3,+169,780,340,302,138,461,138,181,1591,697
2,2,AR,2113,1,2172,5,1987,26,1751,0,0,0,+4,0,−28,−1,−27,+5,+119,0,+64,1109,381,419,309,610,228,271,2112,1136
3,3,FR,2082,1,2135,16,1795,40,1514,0,+19,0,+14,0,+51,−1,−3,0,−1,+3,+113,938,473,341,124,474,269,195,1706,1272
4,4,EN,2020,1,2213,4,1983,17,1810,0,−22,+1,+1,0,+9,+2,+22,+4,+43,+5,+62,1161,510,524,127,683,216,262,2719,1120
5,5,BR,1984,1,2195,4,1998,20,1805,+1,+6,+2,+9,0,−9,−2,−43,−4,−151,−2,−34,1065,372,346,347,670,172,223,2294,954
5,5,PT,1984,2,2060,19,1797,41,1625,+2,+8,−1,−57,+1,−4,0,−28,0,−50,+7,+76,694,320,262,112,346,189,159,1222,779
7,7,CO,1975,3,2069,49,1620,102,1304,−2,−23,−1,−6,+2,+24,−1,−23,+7,+79,−2,−4,648,184,229,235,265,205,178,842,741
8,8,NL,1961,1,2153,15,1848,55,1553,0,+2,0,+1,0,−5,+2,−7,+2,+7,+5,+60,901,429,358,114,465,239,197,1892,1142
9,9,EC,1933,9,1934,64,1525,121,1183,0,0,0,−1,+3,+22,+5,+60,+10,+105,+5,+49,598,183,211,204,183,254,161,719,903
10,10,HR,1930,4,2015,12,1881,28,1780,0,−2,0,−1,+2,+19,+2,−22,+8,+95,+8,+113,398,156,167,75,209,83,106,694,401
11,11,DE,1923,1,2223,8,1911,25,1637,+1,+13,+3,+46,−4,−64,+2,+3,+1,−10,−10,−136,1045,469,415,161,604,224,217,2352,1232
12,12,NO,1912,6,1945,38,1622,85,1364,−1,−10,+3,+42,+9,+83,+24,+175,+22,+163,+37,+279,886,425,409,52,334,355,197,1373,1443
13,13,JP,1904,9,1913,62,1466,116,1126,+3,+26,+4,+41,+1,+28,+4,+52,+19,+146,+15,+142,835,331,207,297,408,257,170,1517,985
